[2025-09-20T19:04:36.579+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-09-20T19:04:36.610+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: bronze_full_load_spaceparts_optimized.extract_load_fact_Orders scheduled__2024-01-02T00:00:00+00:00 [queued]>
[2025-09-20T19:04:36.630+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: bronze_full_load_spaceparts_optimized.extract_load_fact_Orders scheduled__2024-01-02T00:00:00+00:00 [queued]>
[2025-09-20T19:04:36.632+0000] {taskinstance.py:2867} INFO - Starting attempt 2 of 3
[2025-09-20T19:10:01.715+0000] {01_Bronce.py:223} INFO - Processing chunk 53 with 15000 rows
[2025-09-20T19:10:08.593+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 795,000
[2025-09-20T19:10:08.933+0000] {01_Bronce.py:223} INFO - Processing chunk 54 with 15000 rows
[2025-09-20T19:10:12.087+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 810,000
[2025-09-20T19:10:12.322+0000] {01_Bronce.py:223} INFO - Processing chunk 55 with 15000 rows
[2025-09-20T19:10:15.571+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 825,000
[2025-09-20T19:10:15.868+0000] {01_Bronce.py:223} INFO - Processing chunk 56 with 15000 rows
[2025-09-20T19:10:19.283+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 840,000
[2025-09-20T19:10:19.558+0000] {01_Bronce.py:223} INFO - Processing chunk 57 with 15000 rows
[2025-09-20T19:10:23.038+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 855,000
[2025-09-20T19:10:23.378+0000] {01_Bronce.py:223} INFO - Processing chunk 58 with 15000 rows
[2025-09-20T19:10:26.645+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 870,000
[2025-09-20T19:10:26.930+0000] {01_Bronce.py:223} INFO - Processing chunk 59 with 15000 rows
[2025-09-20T19:10:30.392+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 885,000
[2025-09-20T19:10:30.687+0000] {01_Bronce.py:223} INFO - Processing chunk 60 with 15000 rows
[2025-09-20T19:10:34.136+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 900,000
[2025-09-20T19:10:34.427+0000] {01_Bronce.py:223} INFO - Processing chunk 61 with 15000 rows
[2025-09-20T19:10:38.492+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 915,000
[2025-09-20T19:10:38.790+0000] {01_Bronce.py:223} INFO - Processing chunk 62 with 15000 rows
[2025-09-20T19:10:45.712+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 930,000
[2025-09-20T19:10:45.987+0000] {01_Bronce.py:223} INFO - Processing chunk 63 with 15000 rows
[2025-09-20T19:10:49.585+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 945,000
[2025-09-20T19:10:49.854+0000] {01_Bronce.py:223} INFO - Processing chunk 64 with 15000 rows
[2025-09-20T19:10:53.433+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 960,000
[2025-09-20T19:10:53.692+0000] {01_Bronce.py:223} INFO - Processing chunk 65 with 15000 rows
[2025-09-20T19:10:57.114+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 975,000
[2025-09-20T19:10:57.360+0000] {01_Bronce.py:223} INFO - Processing chunk 66 with 15000 rows
[2025-09-20T19:11:00.830+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 990,000
[2025-09-20T19:11:01.123+0000] {01_Bronce.py:223} INFO - Processing chunk 67 with 15000 rows
[2025-09-20T19:11:04.565+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 1,005,000
[2025-09-20T19:11:04.897+0000] {01_Bronce.py:223} INFO - Processing chunk 68 with 15000 rows
[2025-09-20T19:11:08.626+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 1,020,000
[2025-09-20T19:11:08.937+0000] {01_Bronce.py:223} INFO - Processing chunk 69 with 15000 rows
[2025-09-20T19:11:12.522+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 1,035,000
[2025-09-20T19:11:12.810+0000] {01_Bronce.py:223} INFO - Processing chunk 70 with 15000 rows
[2025-09-20T19:11:19.730+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 1,050,000
[2025-09-20T19:11:19.973+0000] {01_Bronce.py:223} INFO - Processing chunk 71 with 15000 rows
[2025-09-20T19:11:23.583+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 1,065,000
[2025-09-20T19:11:23.846+0000] {01_Bronce.py:223} INFO - Processing chunk 72 with 15000 rows
[2025-09-20T19:11:27.069+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 1,080,000
[2025-09-20T19:11:27.334+0000] {01_Bronce.py:223} INFO - Processing chunk 73 with 15000 rows
[2025-09-20T19:11:30.877+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 1,095,000
[2025-09-20T19:11:31.138+0000] {01_Bronce.py:223} INFO - Processing chunk 74 with 15000 rows
[2025-09-20T19:11:34.645+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 1,110,000
[2025-09-20T19:11:34.894+0000] {01_Bronce.py:223} INFO - Processing chunk 75 with 15000 rows
[2025-09-20T19:11:38.404+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 1,125,000
[2025-09-20T19:11:38.681+0000] {01_Bronce.py:223} INFO - Processing chunk 76 with 15000 rows
[2025-09-20T19:11:42.039+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 1,140,000
[2025-09-20T19:11:42.336+0000] {01_Bronce.py:223} INFO - Processing chunk 77 with 15000 rows
[2025-09-20T19:11:46.218+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 1,155,000
[2025-09-20T19:11:46.552+0000] {01_Bronce.py:223} INFO - Processing chunk 78 with 15000 rows
[2025-09-20T19:11:50.742+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 1,170,000
[2025-09-20T19:11:54.651+0000] {01_Bronce.py:223} INFO - Processing chunk 79 with 15000 rows
[2025-09-20T19:11:58.458+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 1,185,000
[2025-09-20T19:11:58.701+0000] {01_Bronce.py:223} INFO - Processing chunk 80 with 15000 rows
[2025-09-20T19:12:02.592+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 1,200,000
[2025-09-20T19:12:02.842+0000] {01_Bronce.py:223} INFO - Processing chunk 81 with 15000 rows
[2025-09-20T19:12:06.394+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 1,215,000
[2025-09-20T19:12:06.699+0000] {01_Bronce.py:223} INFO - Processing chunk 82 with 15000 rows
[2025-09-20T19:12:10.206+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 1,230,000
[2025-09-20T19:12:10.469+0000] {01_Bronce.py:223} INFO - Processing chunk 83 with 15000 rows
[2025-09-20T19:12:14.482+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 1,245,000
[2025-09-20T19:12:14.762+0000] {01_Bronce.py:223} INFO - Processing chunk 84 with 15000 rows
[2025-09-20T19:12:18.650+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 1,260,000
[2025-09-20T19:12:18.937+0000] {01_Bronce.py:223} INFO - Processing chunk 85 with 15000 rows
[2025-09-20T19:12:22.989+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 1,275,000
[2025-09-20T19:12:23.320+0000] {01_Bronce.py:223} INFO - Processing chunk 86 with 15000 rows
[2025-09-20T19:12:31.173+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 1,290,000
[2025-09-20T19:12:31.505+0000] {01_Bronce.py:223} INFO - Processing chunk 87 with 15000 rows
[2025-09-20T19:12:35.737+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 1,305,000
[2025-09-20T19:12:36.014+0000] {01_Bronce.py:223} INFO - Processing chunk 88 with 15000 rows
[2025-09-20T19:12:39.907+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 1,320,000
[2025-09-20T19:12:40.160+0000] {01_Bronce.py:223} INFO - Processing chunk 89 with 15000 rows
[2025-09-20T19:12:44.433+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 1,335,000
[2025-09-20T19:12:44.707+0000] {01_Bronce.py:223} INFO - Processing chunk 90 with 15000 rows
[2025-09-20T19:12:48.287+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 1,350,000
[2025-09-20T19:12:48.561+0000] {01_Bronce.py:223} INFO - Processing chunk 91 with 15000 rows
[2025-09-20T19:12:51.921+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 1,365,000
[2025-09-20T19:12:52.249+0000] {01_Bronce.py:223} INFO - Processing chunk 92 with 15000 rows
[2025-09-20T19:12:55.977+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 1,380,000
[2025-09-20T19:12:56.300+0000] {01_Bronce.py:223} INFO - Processing chunk 93 with 15000 rows
[2025-09-20T19:13:00.335+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 1,395,000
[2025-09-20T19:13:00.628+0000] {01_Bronce.py:223} INFO - Processing chunk 94 with 15000 rows
[2025-09-20T19:13:07.813+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 1,410,000
[2025-09-20T19:13:08.094+0000] {01_Bronce.py:223} INFO - Processing chunk 95 with 15000 rows
[2025-09-20T19:13:11.398+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 1,425,000
[2025-09-20T19:13:11.656+0000] {01_Bronce.py:223} INFO - Processing chunk 96 with 15000 rows
[2025-09-20T19:13:15.573+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 1,440,000
