[2025-09-20T19:47:09.187+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-09-20T19:47:09.214+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: bronze_full_load_spaceparts_optimized.extract_load_fact_Invoices scheduled__2024-01-01T00:00:00+00:00 [queued]>
[2025-09-20T19:47:09.226+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: bronze_full_load_spaceparts_optimized.extract_load_fact_Invoices scheduled__2024-01-01T00:00:00+00:00 [queued]>
[2025-09-20T19:47:09.227+0000] {taskinstance.py:2867} INFO - Starting attempt 1 of 3
[2025-09-20T19:51:34.859+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 585,000
[2025-09-20T19:51:35.230+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 40 with 15000 rows
[2025-09-20T19:51:39.784+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 600,000
[2025-09-20T19:51:40.102+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 41 with 15000 rows
[2025-09-20T19:51:44.829+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 615,000
[2025-09-20T19:51:45.141+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 42 with 15000 rows
[2025-09-20T19:51:49.834+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 630,000
[2025-09-20T19:51:50.110+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 43 with 15000 rows
[2025-09-20T19:51:58.894+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 645,000
[2025-09-20T19:51:59.132+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 44 with 15000 rows
[2025-09-20T19:52:04.075+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 660,000
[2025-09-20T19:52:04.387+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 45 with 15000 rows
[2025-09-20T19:52:09.728+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 675,000
[2025-09-20T19:52:10.032+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 46 with 15000 rows
[2025-09-20T19:52:15.392+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 690,000
[2025-09-20T19:52:15.774+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 47 with 15000 rows
[2025-09-20T19:52:21.038+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 705,000
[2025-09-20T19:52:21.323+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 48 with 15000 rows
[2025-09-20T19:52:26.123+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 720,000
[2025-09-20T19:52:26.410+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 49 with 15000 rows
[2025-09-20T19:52:34.603+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 735,000
[2025-09-20T19:52:34.848+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 50 with 15000 rows
[2025-09-20T19:52:39.506+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 750,000
[2025-09-20T19:52:39.770+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 51 with 15000 rows
[2025-09-20T19:52:44.580+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 765,000
[2025-09-20T19:52:44.846+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 52 with 15000 rows
[2025-09-20T19:52:50.277+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 780,000
[2025-09-20T19:52:50.544+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 53 with 15000 rows
[2025-09-20T19:52:55.120+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 795,000
[2025-09-20T19:52:55.435+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 54 with 15000 rows
[2025-09-20T19:53:00.314+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 810,000
[2025-09-20T19:53:00.566+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 55 with 15000 rows
[2025-09-20T19:53:08.940+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 825,000
