[2025-09-20T19:47:09.180+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-09-20T19:47:09.211+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: bronze_full_load_spaceparts_optimized.extract_load_fact_Budget scheduled__2024-01-01T00:00:00+00:00 [queued]>
[2025-09-20T19:47:09.225+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: bronze_full_load_spaceparts_optimized.extract_load_fact_Budget scheduled__2024-01-01T00:00:00+00:00 [queued]>
[2025-09-20T19:47:09.226+0000] {taskinstance.py:2867} INFO - Starting attempt 1 of 3
[2025-09-20T19:51:57.235+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 25,000 rows. Total: 1,825,000
[2025-09-20T19:51:57.487+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 74 with 25000 rows
[2025-09-20T19:52:00.138+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 25,000 rows. Total: 1,850,000
[2025-09-20T19:52:00.443+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 75 with 25000 rows
[2025-09-20T19:52:03.268+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 25,000 rows. Total: 1,875,000
[2025-09-20T19:52:03.495+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 76 with 25000 rows
[2025-09-20T19:52:06.324+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 25,000 rows. Total: 1,900,000
[2025-09-20T19:52:06.596+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 77 with 25000 rows
[2025-09-20T19:52:09.643+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 25,000 rows. Total: 1,925,000
[2025-09-20T19:52:09.940+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 78 with 25000 rows
[2025-09-20T19:52:13.198+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 25,000 rows. Total: 1,950,000
[2025-09-20T19:52:13.419+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 79 with 25000 rows
[2025-09-20T19:52:16.647+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 25,000 rows. Total: 1,975,000
[2025-09-20T19:52:16.983+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 80 with 25000 rows
[2025-09-20T19:52:19.843+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 25,000 rows. Total: 2,000,000
[2025-09-20T19:52:20.090+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 81 with 25000 rows
[2025-09-20T19:52:22.952+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 25,000 rows. Total: 2,025,000
[2025-09-20T19:52:23.169+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 82 with 25000 rows
[2025-09-20T19:52:25.966+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 25,000 rows. Total: 2,050,000
[2025-09-20T19:52:26.219+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 83 with 25000 rows
[2025-09-20T19:52:32.448+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 25,000 rows. Total: 2,075,000
[2025-09-20T19:52:32.671+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 84 with 25000 rows
[2025-09-20T19:52:35.260+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 25,000 rows. Total: 2,100,000
[2025-09-20T19:52:35.484+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 85 with 25000 rows
[2025-09-20T19:52:38.230+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 25,000 rows. Total: 2,125,000
[2025-09-20T19:52:38.448+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 86 with 25000 rows
[2025-09-20T19:52:41.111+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 25,000 rows. Total: 2,150,000
[2025-09-20T19:52:41.376+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 87 with 25000 rows
[2025-09-20T19:52:44.187+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 25,000 rows. Total: 2,175,000
